role,coverage,components,lines,bytes,score,path,root,title
direct owner-model whitepaper,content-scanned,"direct_model,cosmology,dark_sector,entropic_root,carrier,axes_engine,spacetime_gravity",36,12029,3396,/Users/joshuaeisenhart/Desktop/Desktop - Joshua’s MacBook Pro/joshua-obsidian-vault/joshua doc/txt-versions/my-physics-model.txt,direct-owner-whitepaper,"Joshua's Physics Model: A Unified Theory of Reality, Entropy, and Creation"
legacy/raw physics-cosmology source,content-scanned,"direct_model,cosmology,dark_sector,entropic_root,constraint_root,carrier,axes_engine,spacetime_gravity",9163,613660,13691,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/a2_feed_high entropy doc/grok eisenhart model .txt,repo-a2-high-entropy,Eisenhart Unified Model: Refined Mathematical Foundation
legacy/raw physics-cosmology source,content-scanned,"direct_model,cosmology,dark_sector,entropic_root,constraint_root,carrier,axes_engine,spacetime_gravity",6600,407166,12684,/Users/joshuaeisenhart/Codex-Ratchet/system_v5/READ ONLY Reference Docs/Older Legacy/grok unified phuysics nov 29th.txt,repo-older-legacy,these are all things i worked on gemini. i think they are correct. the 6d manifold is the weakest. the rest seem solidLo
legacy/raw physics-cosmology source,content-scanned,"direct_model,cosmology,dark_sector,entropic_root,constraint_root,carrier,axes_engine,spacetime_gravity",6600,407166,12684,/Users/joshuaeisenhart/wiki/raw/articles/system-v5-reference-docs/Older Legacy/grok unified phuysics nov 29th.txt,wiki-raw-system-v5-reference-docs,these are all things i worked on gemini. i think they are correct. the 6d manifold is the weakest. the rest seem solidLo
legacy/raw physics-cosmology source,content-scanned,"direct_model,cosmology,dark_sector,entropic_root,carrier,axes_engine,spacetime_gravity",1573,135169,7133,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/ultra high entropy docs/txt/gemini toe summary volume 1-23.txt,repo-ultra-high-entropy,﻿Part 1: The Fundamental Physics & Cosmology
legacy/raw physics-cosmology source,content-scanned,"direct_model,cosmology,dark_sector,entropic_root,carrier,axes_engine,spacetime_gravity",217,43990,3189,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/ultra high entropy docs/grok input save.md,repo-ultra-high-entropy,6 bit. 2 trigrams. Forms szilard engine. Runs in two directions. Maps topology. 2nd trigram maps operatiors. Wave and li
legacy/raw physics-cosmology source,content-scanned,"direct_model,cosmology,dark_sector,entropic_root,carrier,axes_engine,spacetime_gravity",309,43897,3189,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/ultra high entropy docs/txt/grok input save.md.txt,repo-ultra-high-entropy,﻿6 bit. 2 trigrams. Forms szilard engine. Runs in two directions. Maps topology. 2nd trigram maps operatiors. Wave and l
legacy/raw physics-cosmology source,content-scanned,"direct_model,cosmology,dark_sector,entropic_root,carrier,axes_engine,spacetime_gravity",100,14354,1889,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/ultra high entropy docs/txt/x grok chat TOE.docx.txt,repo-ultra-high-entropy,﻿Cool pics. Where do they come from. I have never seen SM explained on a tesseract.
legacy/raw physics-cosmology source,content-scanned,"direct_model,cosmology,dark_sector,entropic_root,carrier,axes_engine,spacetime_gravity",86,14226,1889,/Users/joshuaeisenhart/Codex-Ratchet/system_v5/READ ONLY Reference Docs/Older Legacy/x grok chat TOE.txt,repo-older-legacy,Cool pics. Where do they come from. I have never seen SM explained on a tesseract.
legacy/raw physics-cosmology source,content-scanned,"direct_model,cosmology,dark_sector,entropic_root,carrier,axes_engine,spacetime_gravity",86,14226,1889,/Users/joshuaeisenhart/wiki/raw/articles/system-v5-reference-docs/Older Legacy/x grok chat TOE.txt,wiki-raw-system-v5-reference-docs,Cool pics. Where do they come from. I have never seen SM explained on a tesseract.
legacy/raw physics-cosmology source,content-scanned,"cosmology,dark_sector,entropic_root,carrier,axes_engine,spacetime_gravity",876,117445,1446,/Users/joshuaeisenhart/wiki/raw/articles/legacy-books/the-grandmaster-of-the-universe-copy-docx-1.md,wiki-raw-legacy-books,
legacy/raw physics-cosmology source,content-scanned,"cosmology,dark_sector,entropic_root,carrier,axes_engine,spacetime_gravity",605,116883,1446,/Users/joshuaeisenhart/wiki/raw/articles/legacy-books/the-grandmaster-of-the-universe-copy.txt,wiki-raw-legacy-books,The Grandmaster of the Universe
legacy/raw physics-cosmology source,content-scanned,"entropic_root,spacetime_gravity",12,683,158,/Users/joshuaeisenhart/wiki/raw/articles/legacy-books/the-grandmaster-of-the-universe-copy.md,wiki-raw-legacy-books,The Grandmaster of the Universe copy
constraint / M(C) / carrier source,content-scanned,"dark_sector,entropic_root,constraint_root,carrier,axes_engine,spacetime_gravity",441,11079,3194,/Users/joshuaeisenhart/wiki/projects/codex-ratchet/geometric-constraint-manifold-spinor-carrier-source-extract-2026-06-06.md,wiki-project-codex-ratchet,Geometric Constraint Manifold Spinor Carrier Source Extract 2026-06-06
constraint / M(C) / carrier source,content-scanned,"dark_sector,entropic_root,constraint_root,carrier,axes_engine",1424,42546,2659,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/a1_refined_Ratchet Fuel/constraint ladder/Constraints.md,repo-a1-refined-fuel,**Constraints**
constraint / M(C) / carrier source,content-scanned,"dark_sector,entropic_root,constraint_root,carrier,axes_engine,spacetime_gravity",1475,47171,2505,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/a1_refined_Ratchet Fuel/constraint ladder/Constraints. Entropy.md,repo-a1-refined-fuel,
constraint / M(C) / carrier source,content-scanned,"entropic_root,constraint_root,carrier,axes_engine",195,12946,1442,/Users/joshuaeisenhart/wiki/raw/articles/system-v5-reference-docs/Formal constraints and geometry.md,wiki-raw-system-v5-reference-docs,Formal constraints and geometry
constraint / M(C) / carrier source,content-scanned,"constraint_root,carrier,axes_engine,spacetime_gravity",187,8148,1244,/Users/joshuaeisenhart/wiki/projects/codex-ratchet/geometric-constraint-manifold-frontier-2026-06-06.md,wiki-project-codex-ratchet,Geometric Constraint Manifold Frontier
constraint / M(C) / carrier source,content-scanned,"entropic_root,constraint_root,carrier,axes_engine,spacetime_gravity",193,7402,1184,/Users/joshuaeisenhart/wiki/concepts/constraint-manifold-architecture.md,wiki-concepts-current,Constraint Manifold Architecture
constraint / M(C) / carrier source,content-scanned,"entropic_root,constraint_root,carrier,axes_engine",389,12039,930,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/a1_refined_Ratchet Fuel/constraint ladder/Axis 3 math Hopf fiber loop vs lifted base loop.md,repo-a1-refined-fuel,"Axis 3 math Hopf fiber loop vs lifted base loop"""
constraint / M(C) / carrier source,content-scanned,"dark_sector,entropic_root,constraint_root,carrier,axes_engine,spacetime_gravity",292,14399,768,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/a1_refined_Ratchet Fuel/constraint ladder/Axis 0.md,repo-a1-refined-fuel,Axis 0
constraint / M(C) / carrier source,content-scanned,"entropic_root,constraint_root,carrier,axes_engine,spacetime_gravity",87,4158,754,/Users/joshuaeisenhart/wiki/concepts/axes-0-6-and-constraint-manifold-explicit-atlas.md,wiki-concepts-current,Axes 0 6 and Constraint Manifold Explicit Atlas
constraint / M(C) / carrier source,content-scanned,"entropic_root,constraint_root,carrier,axes_engine",196,8969,568,/Users/joshuaeisenhart/wiki/concepts/support-first-constraint-manifold-dependency-chain.md,wiki-concepts-current,Support-First Constraint-Manifold Dependency Chain
